Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"A Arunthavanathan, S Shanmugathasan…",Support for traceability management of software artefacts using Natural Language Processing,2016,2016 Moratuwa …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7480109/,"https://scholar.google.com/scholar?cites=6058095648403634578&as_sdt=2005&sciodt=0,5&hl=en",1,08/02/2022 12:39,,,,,,,,,14,2.33,5,3,6,… at adding an NLP support as an extension to SAT-Analyzer. Enhancing the traceability links … research carried out in applying NLP for improved traceability management. Tool evaluation …,https://www.researchgate.net/profile/Dulani-Meedeniya/publication/303688180_Support_for_traceability_management_of_software_artefacts_using_Natural_Language_Processing/links/5b4efbcaa6fdcc8dae2819c8/Support-for-traceability-management-of-software-artefacts-using-Natural-Language-Processing.pdf,"https://scholar.google.com/scholar?q=related:kjlwIuWtElQJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
20,K Kamalabalan…,Tool support for traceability of software artefacts,2015,2015 Moratuwa …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7112366/,"https://scholar.google.com/scholar?cites=16739170258749269464&as_sdt=2005&sciodt=0,5&hl=en",2,08/02/2022 12:39,,,,,,,,,20,2.86,10,2,7,"… Natural Language Processing (NLP), establishing traceability links and visualizing the traceability … Our first research area is information extraction using NLP. For analysing the given text…",https://www.academia.edu/download/67092523/Tool_Support_for_Traceability_of_Softwar20210505-10490-tpfyl6.pdf,"https://scholar.google.com/scholar?q=related:2KWIk6l6TegJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
34,"D Falessi, M Di Penta, G Canfora…",Estimating the number of remaining links in traceability recovery,2017,Empirical Software …,Springer,https://link.springer.com/article/10.1007/s10664-016-9460-6,"https://scholar.google.com/scholar?cites=9242027094539825825&as_sdt=2005&sciodt=0,5&hl=en",3,08/02/2022 12:39,,10.1007/s10664-016-9460-6,,,,,,,34,6.8,9,4,5,… several ML classifiers and NLP techniques on three datasets … traceability links among different kinds of software artifacts … with previous traceability recovery approaches the use of NLP …,,"https://scholar.google.com/scholar?q=related:ofKUFq1GQoAJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
64,"X Sun, X Liu, J Hu, J Zhu",Empirical studies on the nlp techniques for source code data preprocessing,2014,Proceedings of the 2014 3rd international …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2627508.2627514,"https://scholar.google.com/scholar?cites=4430233608221490420&as_sdt=2005&sciodt=0,5&hl=en",4,08/02/2022 12:39,,10.1145/2627508.2627514,,,,,,,64,8,16,4,8,"… and can often serve as a starting point in many program comprehension tasks [8, 14, 10] such as traceability links recovery among software artifacts [3, 16] and feature location in …",,"https://scholar.google.com/scholar?q=related:9PwJiv5Zez0J:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
26,"S Palihawadana, CH Wijeweera…",Tool support for traceability management of software artefacts with DevOps practices,2017,2017 Moratuwa …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7980469/,"https://scholar.google.com/scholar?cites=18134234309942431632&as_sdt=2005&sciodt=0,5&hl=en",5,08/02/2022 12:39,,,,,,,,,26,5.2,9,3,5,… available traceability methods are Requirements traceability … and source code as input and creates the traceability links … A natural language processing (NLP) extension [9] is there to …,https://www.researchgate.net/profile/Dulani-Meedeniya/publication/318477435_Tool_support_for_traceability_management_of_software_artefacts_with_DevOps_practices/links/5b4efdfcaca27217ff9f1703/Tool-support-for-traceability-management-of-software-artefacts-with-DevOps-practices.pdf,"https://scholar.google.com/scholar?q=related:kM_RjQa-qfsJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
1,"A Kicsi, V Csuvik, L Vidács",Large scale evaluation of natural language processing based test-to-code traceability approaches,2021,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9440898/,"https://scholar.google.com/scholar?cites=4147106634642296020&as_sdt=2005&sciodt=0,5&hl=en",6,08/02/2022 12:39,,,,,,,,,1,1,0,3,1,"… Although source code syntax … source code is hard to interpret for humans as natural language text, machine learning (ML) methods commonly used in natural language processing (NLP…",https://ieeexplore.ieee.org/iel7/6287639/9312710/09440898.pdf,"https://scholar.google.com/scholar?q=related:1AyFC4N7jTkJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
24,"T Zhao, Q Cao, Q Sun",An improved approach to traceability recovery based on word embeddings,2017,2017 24th Asia-Pacific Software …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8305930/,"https://scholar.google.com/scholar?cites=6810945718297688384&as_sdt=2005&sciodt=0,5&hl=en",7,08/02/2022 12:39,,,,,,,,,24,4.8,8,3,5,"… for traceability links. We conducted experiments on five public datasets and took account of traceability links among different kinds of software artifacts. … traceability links, is that an NLP …","https://scholar.google.com/scholar?output=instlink&q=info:QPmZewtXhV4J:scholar.google.com/&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022&scillfp=18345065387981530529&oi=lle","https://scholar.google.com/scholar?q=related:QPmZewtXhV4J:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
9,"A Kicsi, L Tóth, L Vidács",Exploring the benefits of utilizing conceptual information in test-to-code traceability,2018,2018 IEEE/ACM 6th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8452876/,"https://scholar.google.com/scholar?cites=841676704594543486&as_sdt=2005&sciodt=0,5&hl=en",10,08/02/2022 12:39,,,,,,,,,9,2.25,3,3,4,… on textual information extracted from the source code of the system. Variables … natural language processing to test-to-code traceability: • We introduce flexibility to test-to-code traceability …,http://publicatio.bibl.u-szeged.hu/14496/1/RAISE_2018_paper_2-CR.pdf,"https://scholar.google.com/scholar?q=related:fkMU4YA8rgsJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
13,"V Csuvik, A Kicsi, L Vidács",Source code level word embeddings in aiding semantic test-to-code traceability,2019,… Software and Systems Traceability …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8823709/,"https://scholar.google.com/scholar?cites=11794470755945103826&as_sdt=2005&sciodt=0,5&hl=en",11,08/02/2022 12:39,,,,,,,,,13,4.33,4,3,3,"… To retrieve traceability links relying only on the source code, we utilize … Natural language processing methods are widely applied in software engineering research, including traceability …",http://publicatio.bibl.u-szeged.hu/17451/1/Csuvik-SST19-Traceability-CR.pdf,"https://scholar.google.com/scholar?q=related:0kHXqalgrqMJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
11,"I Rubasinghe, D Meedeniya…",Automated inter-artefact traceability establishment for DevOps practice,2018,2018 IEEE/ACIS 17th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8466414/,"https://scholar.google.com/scholar?cites=6773553717232727081&as_sdt=2005&sciodt=0,5&hl=en",12,08/02/2022 12:39,,,,,,,,,11,2.75,4,3,4,… Traceability Analyser) [12][13] is a traceability establishment tool we have developed previously considering software artefacts in … be increased by enhancing the NLP that used to extract …,https://www.researchgate.net/profile/Dulani-Meedeniya/publication/326462129_Automated_Inter-artefact_Traceability_Establishment_for_DevOps_Practice/links/5b4f00250f7e9b240fe91f04/Automated-Inter-artefact-Traceability-Establishment-for-DevOps-Practice.pdf,"https://scholar.google.com/scholar?q=related:KfSuzjd_AF4J:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
4,"RH Hariri, EM Fredericks",Towards traceability link recovery for self-adaptive systems,2018,Workshops at the thirty-second AAAI conference …,aaai.org,https://www.aaai.org/ocs/index.php/WS/AAAIW18/paper/viewPaper/16671,"https://scholar.google.com/scholar?cites=15692905027574673472&as_sdt=2005&sciodt=0,5&hl=en",13,08/02/2022 12:39,,,,,,,,,4,1,2,2,4,… techniques for automatically discovering and resolving possible traceability links at run … NLP domain for use in recovering traceability links between different types of software artifacts (…,https://www.aaai.org/ocs/index.php/WS/AAAIW18/paper/viewPDFInterstitial/16671/15655,"https://scholar.google.com/scholar?q=related:QLCHXvplyNkJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
8,"DB Wijesinghe, K Kamalabalan…",Establishing traceability links among software artefacts,2014,… on Advances in ICT …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7083879/,"https://scholar.google.com/scholar?cites=847388247806245099&as_sdt=2005&sciodt=0,5&hl=en",14,08/02/2022 12:39,,,,,,,,,8,1,3,3,8,… We provide a prototype tool to establish artefact traceability links and visualization. This … out for semi-automatic traceability link establishment and visualization of software artefacts. …,https://www.academia.edu/download/67092146/Establishing_Traceability_Links_among_So20210505-31714-kzx42e.pdf,"https://scholar.google.com/scholar?q=related:6_hUKR-HwgsJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
8,"P Mäder, R Olivetto, A Marcus",Empirical studies in software and systems traceability,2017,Empirical Software Engineering,Springer,https://link.springer.com/article/10.1007/s10664-017-9509-1,"https://scholar.google.com/scholar?cites=8491109702906097916&as_sdt=2005&sciodt=0,5&hl=en",15,08/02/2022 12:39,HTML,10.1007/s10664-017-9509-1,,,,,,,8,1.6,3,3,5,"… NLP techniques on three datasets, and concerning traceability links among different kinds of software artifacts including requirements, use cases, design documents, source code, and …",https://link.springer.com/article/10.1007/s10664-017-9509-1,"https://scholar.google.com/scholar?q=related:_DCXdkl71nUJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
2,"R Lapeña, F Pérez, C Cetina",On the Influence of Models-to-Natural-Language Transformation in Traceability Link Recovery among Requirements and Conceptual Models.,2017,ER Forum/Demos,ceur-ws.org,http://ceur-ws.org/Vol-1979/paper-18.pdf,"https://scholar.google.com/scholar?cites=1879890521434072356&as_sdt=2005&sciodt=0,5&hl=en",16,08/02/2022 12:39,PDF,,,,,,,,2,0.4,1,3,5,… Recovering traceability links between software artifacts and requirements is a common task … M2NL-NLP combinations of techniques impacts IR-based Traceability Links Recovery over …,http://ceur-ws.org/Vol-1979/paper-18.pdf,"https://scholar.google.com/scholar?q=related:JKWzGni2FhoJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
2,"I Rubasinghe, D Meedeniya, I Perera",Tool support for software artefact traceability in DevOps practice: SAT-Analyser,2020,Tools and Techniques for …,igi-global.com,https://www.igi-global.com/chapter/tool-support-for-software-artefact-traceability-in-devops-practice/247541,"https://scholar.google.com/scholar?cites=16254423498553837195&as_sdt=2005&sciodt=0,5&hl=en",23,08/02/2022 12:39,,,,,,,,,2,1,1,3,2,… Performance and accuracy of the traceability creation can be enriched with advanced NLP … This chapter addressed traceability management of software artefacts with a change impact …,https://www.researchgate.net/profile/Dulani-Meedeniya/publication/338871799_Tool_Support_for_Software_Artefact_Traceability_in_DevOps_Practice_SAT-Analyser/links/601d0797a6fdcc37a802dc84/Tool-Support-for-Software-Artefact-Traceability-in-DevOps-Practice-SAT-Analyser.pdf,"https://scholar.google.com/scholar?q=related:i0YQZA1Qk-EJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
25,"V Arnaoudova, S Haiduc, A Marcus…",The use of text retrieval and natural language processing in software engineering,2015,2015 IEEE/ACM 37th …,computer.org,https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/12OmNB8Cj3x/pdf,"https://scholar.google.com/scholar?cites=2410727661021750496&as_sdt=2005&sciodt=0,5&hl=en",24,08/02/2022 12:39,,,,,,,,,25,3.57,6,4,7,"… unstructured information exceeds the size of the source code by one order of magnitude. … TR and NLP of software documents. Examples include tasks such as, traceability link recovery, …",,"https://scholar.google.com/scholar?q=related:4ORo_QigdCEJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
